SupportID,SupportCategory,Cleaned_Text
SMT-035,Connectivity,secur camera disconnect wi fi everi night pm
SMT-049,Connectivity,secur camera disconnect wi fi everi night pm
SMT-071,Connectivity,secur camera disconnect wi fi everi night pm
SMT-083,Connectivity,secur camera disconnect wi fi everi night pm
SMT-052,Installation,setup guid clear instal camera hamilton minut
SMT-069,Installation,setup guid clear instal camera hamilton minut
SMT-087,Installation,setup guid clear instal camera hamilton minut
SMT-027,Installation,setup guid clear instal camera oshawa minut
SMT-046,Installation,setup guid clear instal camera oshawa minut
SMT-003,Warranty_Return,smart light stop work two week need warranti replac
SMT-048,Warranty_Return,smart light stop work two week need warranti replac
SMT-111,Warranty_Return,smart light stop work two week need warranti replac
SMT-120,Warranty_Return,smart light stop work two week need warranti replac
SMT-019,Connectivity,smart speaker cannot find homeiq hub even though onlin
SMT-020,Connectivity,smart speaker cannot find homeiq hub even though onlin
SMT-051,Connectivity,smart speaker cannot find homeiq hub even though onlin
SMT-109,Connectivity,smart speaker cannot find homeiq hub even though onlin
SMT-115,Connectivity,smart speaker cannot find homeiq hub even though onlin
SMT-007,Installation,someon explain pair hub mount sensor
SMT-030,Installation,someon explain pair hub mount sensor
SMT-041,Installation,someon explain pair hub mount sensor
SMT-117,Installation,someon explain pair hub mount sensor
SMT-006,Energy_Saving,thermostat report help lower energi use week
SMT-080,Energy_Saving,thermostat report help lower energi use week
SMT-082,Energy_Saving,thermostat report help lower energi use week
SMT-113,Energy_Saving,thermostat report help lower energi use week
SMT-001,Voice_Assistant,voic command work yesterday today speaker say devic unavail
SMT-004,Voice_Assistant,voic command work yesterday today speaker say devic unavail
SMT-055,Voice_Assistant,voic command work yesterday today speaker say devic unavail
SMT-062,Voice_Assistant,voic command work yesterday today speaker say devic unavail
SMT-013,Installation,wall plate fit old thermostat wire
SMT-034,Installation,wall plate fit old thermostat wire
SMT-101,Installation,wall plate fit old thermostat wire
SMT-116,Installation,wall plate fit old thermostat wire
SMT-068,Voice_Assistant,want renam camera siri recogn
SMT-090,Voice_Assistant,want renam camera siri recogn
SMT-091,Voice_Assistant,want renam camera siri recogn
SMT-094,Voice_Assistant,want renam camera siri recogn
